"Km","Region","Sælger","Diesel","Alder","Pris"
172,"Jylland","nej","nej",9,59.9
138,"Jylland","nej","nej",11,59.9
147,"København","nej","nej",9,42.8
207,"København","nej","nej",9,59.9
145,"København","nej","nej",11,59.9
134,"Jylland","nej","nej",10,59.9
161,"Jylland","nej","nej",10,52.9
223,"Jylland","nej","nej",11,44.8
177,"Jylland","nej","nej",10,49.9
115,"Sjælland","nej","nej",11,49.9
89,"København","nej","nej",10,64.9
143,"Jylland","nej","nej",10,59.9
112,"København","nej","nej",12,49.9
210,"Jylland","nej","nej",11,39.8
181,"Jylland","nej","nej",11,44.8
116,"København","nej","nej",10,59.8
148,"København","nej","nej",12,44.9
137,"Jylland","nej","nej",11,64.8
146,"Jylland","nej","nej",10,64.9
114,"Jylland","nej","nej",11,49.9
161,"Jylland","nej","nej",10,44.5
129,"Fyn","nej","nej",8,69.9
60,"Sjælland","nej","nej",11,58.9
337,"København","nej","nej",10,26.5
260,"Fyn","nej","nej",11,51.8
252,"Jylland","nej","nej",9,49.8
234,"Jylland","nej","nej",10,51.5
183,"Jylland","nej","nej",9,57.8
295,"Sjælland","nej","nej",11,44.9
180,"København","nej","nej",10,49.99
234,"Fyn","nej","nej",11,52.8
135,"København","nej","nej",11,49.9
207,"København","nej","nej",11,64.9
143,"Jylland","nej","nej",10,74.8
196,"København","nej","nej",11,89.9
138,"Sjælland","nej","nej",9,69.9
168,"Jylland","nej","nej",9,59.9
194,"Jylland","nej","nej",10,45
183,"Fyn","nej","nej",10,64.9
126,"Fyn","nej","nej",9,79.9
145,"Jylland","nej","nej",10,79.9
123,"København","nej","nej",9,59.8
118,"København","nej","nej",10,74.9
69,"Jylland","nej","nej",6,114.8
164,"København","nej","nej",10,79.9
230,"Fyn","nej","nej",11,69.9
159,"København","nej","nej",9,59.9
127,"Jylland","nej","nej",8,59.9
62,"Jylland","nej","nej",10,89.9
193,"Sjælland","nej","nej",9,59.9
87,"Sjælland","nej","nej",10,89.9
182,"Sjælland","nej","nej",11,69.9
102,"København","nej","nej",9,69.9
160,"Sjælland","nej","nej",7,74.9
59,"Jylland","nej","ja",4,124.8
215,"Sjælland","nej","ja",7,78.9
236,"Sjælland","nej","ja",7,89.8
190,"København","nej","ja",9,69.7
198,"Jylland","nej","ja",9,59.9
208,"Fyn","nej","ja",10,59.9
136,"Sjælland","nej","ja",7,79.9
200,"Jylland","nej","ja",10,64.9
141,"Jylland","nej","ja",8,97.8
158,"Jylland","nej","ja",9,69.9
210,"Fyn","nej","ja",9,69.5
211,"Jylland","nej","ja",10,59.9
146,"Jylland","nej","ja",9,79.9
211,"Fyn","nej","ja",10,64.9
211,"Jylland","nej","ja",10,49.8
209,"Sjælland","nej","ja",9,59.9
205,"Jylland","nej","ja",8,57.9
149,"Jylland","nej","ja",9,65.5
193,"København","nej","ja",8,59.9
212,"Jylland","nej","ja",9,69.9
211,"Jylland","nej","ja",9,64.9
194,"Jylland","nej","ja",9,69.8
169,"Sjælland","nej","ja",9,89.9
253,"Jylland","nej","ja",8,69.9
212,"Jylland","nej","ja",8,59.9
283,"Jylland","nej","ja",9,59.9
167,"Jylland","nej","ja",9,79.9
73,"Sjælland","nej","ja",5,129.9
92,"Jylland","nej","ja",5,99.8
99,"Sjælland","nej","ja",6,86.9
99,"Sjælland","nej","nej",7,124.9
99,"Jylland","nej","nej",8,129.9
77,"Jylland","nej","nej",6,159.9
79,"Jylland","nej","nej",8,134.9
139,"Jylland","nej","nej",9,129.8
78,"Jylland","nej","nej",7,139.9
174,"Sjælland","nej","nej",8,109.8
135,"Jylland","nej","nej",8,124.8
54,"Fyn","nej","nej",9,149.9
37,"Jylland","nej","nej",6,164.9
70,"Fyn","nej","nej",6,159.9
116,"Jylland","nej","nej",7,139.9
73,"København","nej","nej",8,159.9
85,"København","nej","nej",8,119.9
79,"Jylland","nej","nej",9,119.9
110,"København","nej","nej",9,99.9
80,"Jylland","nej","nej",8,139.9
70,"København","nej","nej",7,139.8
135,"København","nej","nej",8,109.9
148,"København","nej","nej",7,119.8
53,"Jylland","nej","nej",7,149.9
75,"Jylland","nej","nej",8,159.9
145,"København","nej","nej",7,114.9
88,"Jylland","nej","nej",8,129.9
99,"Sjælland","nej","nej",7,139.9
117,"Sjælland","nej","nej",9,129.8
88,"Jylland","nej","nej",8,144.6
102,"Jylland","nej","nej",8,109.6
114,"Jylland","nej","nej",8,129.9
103,"Jylland","nej","nej",9,120
133,"Jylland","nej","nej",8,139.9
91,"Jylland","nej","nej",7,124.8
81,"Jylland","nej","nej",9,144.9
66,"Fyn","nej","nej",9,138.5
109,"København","nej","nej",8,119.8
145,"Jylland","nej","nej",9,99.9
56,"København","nej","nej",6,159.9
103,"København","nej","nej",9,109.9
71,"København","nej","nej",7,139.9
56,"Jylland","nej","nej",8,144.9
155,"København","nej","nej",9,114.62
99,"Jylland","nej","nej",8,139.9
166,"Jylland","nej","nej",8,99.8
90,"Jylland","nej","nej",7,149.9
27,"København","nej","nej",8,159.9
47,"København","nej","nej",8,149.9
140,"Sjælland","nej","nej",8,144.8
85,"Sjælland","nej","nej",8,139.9
94,"Sjælland","nej","nej",9,129
60,"Sjælland","nej","nej",6,179.9
62,"Jylland","nej","nej",8,139.8
89,"Jylland","nej","nej",8,139.9
167,"Fyn","nej","nej",8,139.9
68,"København","nej","nej",6,159.9
86,"København","nej","nej",7,134.62
116,"København","nej","nej",8,129.9
82,"Jylland","nej","nej",5,159.9
24,"Jylland","nej","nej",5,199.9
20,"København","nej","nej",4,199.9
49,"København","nej","nej",5,179.9
37,"Sjælland","nej","nej",3,199.9
143,"København","nej","nej",9,124.9
48,"Jylland","nej","nej",6,169.9
75,"Fyn","nej","nej",9,164.9
71,"Jylland","nej","nej",8,159.9
94,"Sjælland","nej","nej",8,144.5
112,"Jylland","nej","nej",9,138.9
68,"København","nej","nej",8,159.9
79,"Jylland","nej","nej",8,159.9
112,"København","nej","nej",8,149.9
41,"Sjælland","nej","nej",7,179.9
128,"Jylland","nej","nej",11,49.9
65,"Jylland","nej","nej",5,94.9
61,"Sjælland","nej","nej",5,88.9
98,"Jylland","nej","nej",6,84.8
75,"København","nej","nej",4,89.5
40,"Jylland","nej","nej",5,89.8
77,"Jylland","nej","nej",6,99.9
46,"Fyn","nej","nej",5,94.9
47,"Jylland","nej","nej",6,79.8
53,"København","nej","nej",6,84.9
72,"København","nej","nej",6,89.9
46,"Jylland","nej","nej",4,99.8
78,"Fyn","nej","nej",5,89.9
78,"Jylland","nej","nej",5,89.9
176,"Jylland","nej","ja",7,74.9
103,"København","nej","ja",5,99.9
165,"Jylland","nej","ja",6,89.8
226,"Jylland","nej","ja",7,67.9
248,"Fyn","nej","ja",8,48
124,"Sjælland","nej","ja",6,89.9
70,"Sjælland","nej","ja",5,99.9
108,"Jylland","nej","ja",7,84.9
205,"Jylland","nej","ja",8,64.8
149,"Sjælland","nej","ja",5,89.9
97,"København","nej","ja",6,84.9
124,"Jylland","nej","ja",7,112.5
67,"København","nej","ja",5,104.9
178,"Jylland","nej","ja",7,79.8
173,"Fyn","nej","ja",7,69.9
169,"Sjælland","nej","ja",8,74.8
106,"Jylland","nej","ja",7,79.9
78,"København","nej","ja",4,99.9
148,"Jylland","nej","ja",7,79.9
123,"København","nej","ja",7,79.8
93,"Jylland","nej","ja",5,79.9
80,"Fyn","nej","ja",5,94.9
199,"Sjælland","nej","ja",6,74.9
114,"Jylland","nej","ja",7,79.9
235,"Jylland","nej","ja",8,69.9
120,"Jylland","nej","ja",7,89.9
127,"Fyn","nej","ja",7,89.9
185,"København","nej","ja",8,59.9
119,"Jylland","nej","ja",6,89.9
185,"Jylland","nej","ja",7,79.8
58,"Jylland","nej","ja",4,99.8
179,"Jylland","nej","ja",6,79.8
62,"Fyn","nej","ja",5,99.9
134,"Jylland","nej","ja",6,74.9
99,"Jylland","nej","ja",6,94.9
