"Compulsive","Gender"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"yes","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
"no","Male"
