"County","Kriminalitet","Uddannelse","Urbanisering"
"ALACHUA",104,82.7,73.2
"BAKER",20,64.1,21.5
"BAY",64,74.7,85
"BRADFORD",50,65,23.2
"BREVARD",64,82.3,91.9
"BROWARD",94,76.8,98.9
"CALHOUN",8,55.9,0
"CHARLOTTE",35,75.7,80.2
"CITRUS",27,68.6,31
"CLAY",41,81.2,65.8
"COLLIER",55,79,77.6
"COLUMBIA",69,69,31.1
"DADE",128,65,98.8
"DESOTO",69,54.5,44.6
"DIXIE",49,57.7,0
"DUVAL",97,76.9,98.8
"ESCAMBIA",70,76.2,85.9
"FLAGLER",34,78.7,63.1
"FRANKLIN",37,59.5,30.2
"GADSDEN",52,59.9,28.8
"GILCHRIST",15,63,0
"GLADES",62,57.4,0
"GULF",19,66.4,35.2
"HAMILTON",6,58.4,0
"HARDEE",57,54.8,16.7
"HENDRY",47,56.6,44.7
"HERNANDO",44,70.5,61.3
"HIGHLANDS",56,68.2,24.8
"HILLSBOR.",110,75.6,89.2
"HOLMES",5,57.1,16.8
"INDIAN-R.",58,76.5,83
"JACKSON",32,61.6,21.7
"JEFFERSON",36,64.1,22.3
"LAFAYETTE",0,58.2,0
"LAKE",42,70.6,43.2
"LEE",59,76.9,86.1
"LEON",107,84.9,82.5
"LEVY",45,62.8,0
"LIBERTY",8,56.7,0
"MADISON",26,56.5,20.3
"MANATEE",79,75.6,88.7
"MARION",64,69.6,39.6
"MARTIN",53,79.7,83.2
"MONROE",89,79.7,73.2
"NASSAU",42,71.2,44.9
"OKALOOSA",37,83.8,84
"OKEECH.",51,59.1,30.1
"ORANGE",93,78.8,93.1
"OSCEOLA",78,73.7,66.4
"PALM-B.",90,78.8,94.7
"PASCO",42,66.9,67.4
"PINELLAS",70,78.1,99.6
"POLK",84,68,70.3
"PUTNAM",83,64.3,15.7
"SANTA-R.",43,79.9,57.2
"SARASOTA",58,71.7,92.1
"SEMINOLE",56,78.5,44.4
"ST-JOHNS",54,81.3,93.2
"ST-LUCIE",58,84.6,92.8
"SUMTER",37,64.3,19.3
"SUWANEE",37,63.8,23.6
"TAYLOR",76,62.1,41.8
"UNION",6,67.7,0
"VOLUSIA",62,75.4,83.9
"WAKULLA",29,71.6,0
"WALTON",18,66.5,20.9
"WASHING.",21,60.9,22.9
