"Hastighed","Advarselsskilt"
26,"Skilt"
26,"Skilt"
26,"Skilt"
26,"Skilt"
27,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
42,"Skilt"
43,"Skilt"
43,"Skilt"
43,"Skilt"
44,"Skilt"
44,"Skilt"
45,"Skilt"
45,"Skilt"
46,"Skilt"
46,"Skilt"
49,"Skilt"
26,"Skilt"
27,"Skilt"
28,"Skilt"
28,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
29,"Skilt"
30,"Skilt"
30,"Skilt"
30,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
31,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
32,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
33,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
34,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
35,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
36,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
37,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
38,"Skilt"
39,"Skilt"
39,"Skilt"
39,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
40,"Skilt"
41,"Skilt"
41,"Skilt"
41,"Skilt"
42,"Skilt"
42,"Skilt"
